transaction_id,customer_id,product_id,quantity,transaction_date,payment_method,price,total_price
TRANS00058,CUST0131,PROD0203,4,2024-07-24 21:52:58.385503,Credit Card,224.17,896.68
TRANS00059,CUST0337,PROD0218,1,2025-05-15 21:52:58.385506,Credit Card,545.7,545.7
TRANS00060,CUST0403,PROD0405,1,2024-11-22 21:52:58.385509,Debit Card,522.9,522.9
TRANS00061,CUST0375,PROD0479,4,2025-06-14 21:52:58.385513,Credit Card,323.77,1295.08
TRANS00062,CUST0887,PROD0240,2,2024-12-16 21:52:58.385516,Credit Card,388.96,777.92
TRANS00063,CUST0558,PROD0410,3,2025-05-18 21:52:58.385519,Debit Card,23.72,71.16
TRANS00064,CUST0106,PROD0319,2,2025-07-15 21:52:58.385522,Debit Card,69.02,138.04
TRANS00065,CUST0619,PROD0257,2,2025-05-21 21:52:58.385526,Credit Card,55.13,110.26
TRANS00066,CUST0264,PROD0108,3,2024-09-19 21:52:58.385529,Debit Card,418.16,1254.48
TRANS00067,CUST0204,PROD0255,1,2024-10-03 21:52:58.385532,Boleto,545.86,545.86
TRANS00068,CUST0078,PROD0480,2,2025-03-01 21:52:58.385535,Credit Card,810.74,1621.48
TRANS00069,CUST0154,PROD0281,1,2024-10-11 21:52:58.385538,Debit Card,33.76,33.76
TRANS00070,CUST0782,PROD0219,3,2024-12-15 21:52:58.385542,Debit Card,609.04,1827.12
TRANS00071,CUST0987,PROD0082,2,2024-11-20 21:52:58.385545,Credit Card,692.42,1384.84
TRANS00072,CUST0996,PROD0106,1,2024-10-05 21:52:58.385548,Credit Card,758.69,758.69
TRANS00073,CUST0246,PROD0068,1,2025-06-16 21:52:58.385554,Credit Card,116.96,116.96
TRANS00074,CUST0530,PROD0096,2,2024-12-23 21:52:58.385559,Debit Card,365.04,730.08
TRANS00075,CUST0857,PROD0211,3,2024-10-16 21:52:58.385562,Credit Card,559.14,1677.42
TRANS00076,CUST0947,PROD0285,4,2025-07-06 21:52:58.385566,Bank Transfer,957.15,3828.6
TRANS00077,CUST0537,PROD0236,1,2024-07-23 21:52:58.385569,Debit Card,60.64,60.64
TRANS00078,CUST0728,PROD0007,3,2025-05-31 21:52:58.385573,Credit Card,833.2,2499.6000000000004
TRANS00079,CUST0153,PROD0293,2,2025-07-14 21:52:58.385576,Debit Card,799.54,1599.08
TRANS00080,CUST0153,PROD0188,1,2025-03-09 21:52:58.385579,Boleto,811.58,811.58
TRANS00081,CUST0685,PROD0080,1,2025-05-06 21:52:58.385582,Credit Card,51.16,51.16
TRANS00082,CUST0091,PROD0107,1,2025-02-08 21:52:58.385585,Credit Card,459.64,459.64
TRANS00083,CUST0432,PROD0320,3,2025-03-09 21:52:58.385588,Debit Card,695.13,2085.39
TRANS00084,CUST0337,PROD0066,1,2025-06-25 21:52:58.385591,Credit Card,134.29,134.29
TRANS00085,CUST0479,PROD0173,1,2025-03-04 21:52:58.385595,Credit Card,785.63,785.63
TRANS00086,CUST0692,PROD0345,2,2025-06-27 21:52:58.385598,Credit Card,477.02,954.04
TRANS00087,CUST0130,PROD0350,1,2024-12-09 21:52:58.385601,Credit Card,34.95,34.95
TRANS00088,CUST0449,PROD0327,3,2024-08-18 21:52:58.385604,Credit Card,143.87,431.61
TRANS00089,CUST0992,PROD0042,2,2025-03-09 21:52:58.385615,Bank Transfer,333.67,667.34
TRANS00090,CUST0809,PROD0186,4,2025-06-15 21:52:58.385619,Boleto,675.53,2702.12
TRANS00091,CUST0786,PROD0301,2,2025-04-18 21:52:58.385622,Credit Card,784.6,1569.2
TRANS00092,CUST0272,PROD0199,1,2024-10-31 21:52:58.385628,Credit Card,64.02,64.02
TRANS00093,CUST0928,PROD0380,4,2024-09-22 21:52:58.385634,Credit Card,526.16,2104.64
TRANS00094,CUST0587,PROD0418,2,2024-08-18 21:52:58.385637,Credit Card,463.93,927.86
TRANS00095,CUST0176,PROD0038,1,2024-11-10 21:52:58.385640,Credit Card,874.88,874.88
TRANS00096,CUST0695,PROD0219,2,2025-01-25 21:52:58.385644,Credit Card,609.04,1218.08
TRANS00097,CUST0830,PROD0306,3,2024-07-25 21:52:58.385647,Boleto,232.41,697.23
TRANS00098,CUST0642,PROD0003,1,2025-05-31 21:52:58.385650,Credit Card,561.01,561.01
TRANS00099,CUST0874,PROD0120,3,2025-01-01 21:52:58.385653,Credit Card,997.77,2993.31
TRANS00100,CUST0048,PROD0335,1,2025-06-13 21:52:58.385657,Credit Card,991.62,991.62
TRANS00101,CUST0566,PROD0076,3,2024-11-05 21:52:58.385660,Credit Card,548.9,1646.6999999999998
TRANS00102,CUST0665,PROD0467,4,2024-11-11 21:52:58.385663,Bank Transfer,376.53,1506.12
TRANS00103,CUST0354,PROD0178,3,2025-06-05 21:52:58.385666,Credit Card,971.23,2913.69
TRANS00104,CUST0711,PROD0132,2,2024-10-01 21:52:58.385669,Boleto,815.59,1631.18
TRANS00105,CUST0307,PROD0310,1,2025-03-16 21:52:58.385673,Credit Card,189.08,189.08
TRANS00106,CUST0867,PROD0228,2,2025-06-20 21:52:58.385676,Debit Card,234.5,469.0
TRANS00107,CUST0884,PROD0275,3,2025-05-19 21:52:58.385679,Boleto,14.15,42.45
TRANS00108,CUST0629,PROD0151,1,2025-02-20 21:52:58.385682,Credit Card,581.21,581.21
TRANS00109,CUST0774,PROD0163,3,2025-03-24 21:52:58.385686,Credit Card,599.72,1799.16
TRANS00110,CUST0045,PROD0289,4,2024-12-30 21:52:58.385689,Debit Card,399.22,1596.88
TRANS00111,CUST0301,PROD0377,4,2025-03-11 21:52:58.385692,Credit Card,629.43,2517.72
TRANS00112,CUST0867,PROD0108,4,2025-02-14 21:52:58.385695,Debit Card,418.16,1672.64
TRANS00113,CUST0911,PROD0125,3,2024-10-19 21:52:58.385699,Credit Card,884.44,2653.32
TRANS00114,CUST0407,PROD0239,3,2024-08-12 21:52:58.385702,Credit Card,488.46,1465.3799999999999
TRANS00115,CUST0188,PROD0309,4,2025-04-25 21:52:58.385705,Credit Card,978.44,3913.76
TRANS00116,CUST0821,PROD0417,3,2025-06-24 21:52:58.385708,Boleto,887.31,2661.93
TRANS00117,CUST0829,PROD0466,2,2025-07-06 21:52:58.385712,Credit Card,910.16,1820.32
TRANS00118,CUST0128,PROD0400,3,2025-01-11 21:52:58.385715,Credit Card,432.23,1296.69
TRANS00119,CUST0560,PROD0388,2,2025-03-23 21:52:58.385718,Debit Card,812.06,1624.12
TRANS00120,CUST0536,PROD0344,4,2025-02-05 21:52:58.385721,Credit Card,169.84,679.36
TRANS00121,CUST0265,PROD0145,3,2025-04-05 21:52:58.385724,Credit Card,737.02,2211.06
TRANS00122,CUST0117,PROD0251,4,2024-11-16 21:52:58.385727,Credit Card,58.21,232.84
TRANS00123,CUST0463,PROD0182,1,2025-07-10 21:52:58.385731,Debit Card,411.37,411.37
TRANS00124,CUST0143,PROD0308,3,2024-07-20 21:52:58.385734,Debit Card,415.58,1246.74
TRANS00125,CUST0441,PROD0305,3,2025-01-26 21:52:58.385737,Credit Card,832.32,2496.96
TRANS00126,CUST0199,PROD0071,4,2024-11-03 21:52:58.385740,Credit Card,545.96,2183.84
TRANS00127,CUST0156,PROD0218,4,2024-11-12 21:52:58.385743,Debit Card,545.7,2182.8
TRANS00128,CUST0486,PROD0206,4,2025-01-06 21:52:58.385747,Debit Card,822.28,3289.12
TRANS00129,CUST0859,PROD0172,1,2025-03-25 21:52:58.385751,Credit Card,830.37,830.37
TRANS00130,CUST0133,PROD0140,1,2025-06-24 21:52:58.385754,Credit Card,407.45,407.45
TRANS00131,CUST0911,PROD0271,4,2024-07-24 21:52:58.385757,Credit Card,151.13,604.52
TRANS00132,CUST0147,PROD0213,3,2024-09-06 21:52:58.385760,Debit Card,635.14,1905.42
TRANS00133,CUST0335,PROD0467,3,2024-10-14 21:52:58.385764,Boleto,376.53,1129.59
TRANS00134,CUST0070,PROD0268,4,2025-03-03 21:52:58.385767,Credit Card,989.61,3958.44
TRANS00135,CUST0232,PROD0019,2,2024-07-25 21:52:58.385770,Credit Card,22.77,45.54
TRANS00136,CUST0333,PROD0065,1,2025-01-03 21:52:58.385773,Credit Card,204.28,204.28
TRANS00137,CUST0810,PROD0482,1,2024-11-01 21:52:58.385776,Credit Card,309.44,309.44
TRANS00138,CUST0665,PROD0302,2,2024-10-12 21:52:58.385780,Credit Card,992.59,1985.18
TRANS00139,CUST0089,PROD0146,4,2025-05-08 21:52:58.385783,Boleto,216.74,866.96
TRANS00140,CUST0333,PROD0428,3,2024-07-23 21:52:58.385786,Credit Card,238.77,716.3100000000001
TRANS00141,CUST0198,PROD0164,3,2024-07-22 21:52:58.385789,Debit Card,89.81,269.43
TRANS00142,CUST0160,PROD0377,1,2025-06-11 21:52:58.385792,Credit Card,629.43,629.43
TRANS00143,CUST0537,PROD0309,2,2025-03-31 21:52:58.385796,Bank Transfer,978.44,1956.88
TRANS00144,CUST0120,PROD0005,3,2025-06-23 21:52:58.385799,Debit Card,143.23,429.68999999999994
TRANS00145,CUST0300,PROD0013,1,2025-02-27 21:52:58.385802,Credit Card,782.02,782.02
TRANS00146,CUST0723,PROD0131,3,2025-06-25 21:52:58.385805,Boleto,70.83,212.49
TRANS00147,CUST0574,PROD0341,3,2024-08-12 21:52:58.385808,Credit Card,364.23,1092.69
TRANS00148,CUST0962,PROD0242,3,2024-08-22 21:52:58.385812,Debit Card,153.87,461.61
TRANS00149,CUST0435,PROD0438,1,2024-12-25 21:52:58.385815,Bank Transfer,762.41,762.41
TRANS00150,CUST0067,PROD0230,2,2024-12-05 21:52:58.385818,Credit Card,89.3,178.6
TRANS00151,CUST0764,PROD0227,4,2024-12-06 21:52:58.385822,Debit Card,528.17,2112.68
TRANS00152,CUST0921,PROD0161,2,2025-04-27 21:52:58.385825,Bank Transfer,159.93,319.86
TRANS00153,CUST0458,PROD0282,3,2024-08-21 21:52:58.385828,Boleto,342.02,1026.06
TRANS00154,CUST0513,PROD0262,2,2025-01-07 21:52:58.385831,Debit Card,178.19,356.38
TRANS00155,CUST0397,PROD0130,3,2024-10-04 21:52:58.385834,Credit Card,651.75,1955.25
TRANS00156,CUST0619,PROD0430,1,2025-02-20 21:52:58.385838,Debit Card,263.63,263.63
TRANS00157,CUST0285,PROD0224,1,2024-10-08 21:52:58.385841,Debit Card,68.99,68.99
TRANS00158,CUST0560,PROD0257,1,2025-07-06 21:52:58.385844,Debit Card,55.13,55.13
TRANS00159,CUST0139,PROD0233,3,2024-10-14 21:52:58.385847,Bank Transfer,192.61,577.83
TRANS00160,CUST0729,PROD0335,2,2025-05-22 21:52:58.385850,Credit Card,991.62,1983.24
TRANS00161,CUST0555,PROD0408,4,2025-01-25 21:52:58.385854,Credit Card,406.31,1625.24
TRANS00162,CUST0928,PROD0315,4,2024-09-17 21:52:58.385857,Debit Card,582.58,2330.32
TRANS00163,CUST0780,PROD0462,1,2024-12-25 21:52:58.385860,Boleto,411.27,411.27
TRANS00164,CUST0589,PROD0023,4,2024-08-06 21:52:58.385863,Credit Card,570.09,2280.36
TRANS00165,CUST0727,PROD0270,3,2024-11-11 21:52:58.385866,Boleto,949.49,2848.4700000000003
TRANS00166,CUST0893,PROD0094,2,2024-09-06 21:52:58.385870,Boleto,704.72,1409.44
TRANS00167,CUST0609,PROD0141,4,2024-10-24 21:52:58.385873,Boleto,344.7,1378.8
TRANS00168,CUST0747,PROD0181,4,2025-06-25 21:52:58.385876,Boleto,49.88,199.52
TRANS00169,CUST0281,PROD0205,2,2024-08-24 21:52:58.385879,Bank Transfer,57.88,115.76
TRANS00170,CUST0660,PROD0389,4,2025-06-23 21:52:58.385883,Bank Transfer,435.38,1741.52
TRANS00171,CUST0923,PROD0461,2,2025-01-04 21:52:58.385887,Debit Card,239.9,479.8
TRANS00172,CUST0815,PROD0080,3,2025-04-12 21:52:58.385892,Credit Card,51.16,153.48
TRANS00173,CUST0995,PROD0273,3,2024-10-27 21:52:58.385897,Credit Card,559.18,1677.54
TRANS00174,CUST0935,PROD0275,3,2025-05-06 21:52:58.385900,Credit Card,14.15,42.45
TRANS00175,CUST0577,PROD0370,1,2024-11-16 21:52:58.385904,Credit Card,737.26,737.26
TRANS00176,CUST0745,PROD0445,3,2025-06-09 21:52:58.385907,Credit Card,310.35,931.0500000000001
TRANS00177,CUST0456,PROD0464,4,2025-04-19 21:52:58.385910,Boleto,206.65,826.6
TRANS00178,CUST0086,PROD0207,1,2025-06-19 21:52:58.385913,Debit Card,828.08,828.08
TRANS00179,CUST0078,PROD0295,1,2025-04-16 21:52:58.385916,Credit Card,551.46,551.46
TRANS00180,CUST0204,PROD0038,1,2025-05-24 21:52:58.385919,Debit Card,874.88,874.88
TRANS00181,CUST0790,PROD0435,3,2025-02-08 21:52:58.385922,Credit Card,678.14,2034.42
TRANS00182,CUST0336,PROD0287,1,2024-12-01 21:52:58.385925,Credit Card,731.37,731.37
TRANS00183,CUST0253,PROD0123,3,2025-06-06 21:52:58.385929,Bank Transfer,406.7,1220.1
TRANS00184,CUST0303,PROD0363,3,2025-06-10 21:52:58.385932,Credit Card,424.91,1274.73
TRANS00185,CUST0379,PROD0456,1,2025-03-14 21:52:58.385935,Debit Card,509.41,509.41
TRANS00186,CUST0129,PROD0282,1,2025-01-19 21:52:58.385938,Credit Card,342.02,342.02
TRANS00187,CUST0595,PROD0365,4,2024-08-19 21:52:58.385941,Debit Card,518.57,2074.28
TRANS00188,CUST0275,PROD0179,1,2025-06-10 21:52:58.385944,Bank Transfer,185.38,185.38
TRANS00189,CUST0698,PROD0096,3,2025-04-07 21:52:58.385948,Credit Card,365.04,1095.1200000000001
TRANS00190,CUST0557,PROD0190,4,2025-06-16 21:52:58.385951,Boleto,31.85,127.4
TRANS00191,CUST0898,PROD0073,4,2025-01-08 21:52:58.385954,Credit Card,66.46,265.84
TRANS00192,CUST0182,PROD0446,3,2025-02-21 21:52:58.385957,Debit Card,784.07,2352.21
TRANS00193,CUST0267,PROD0272,1,2025-04-18 21:52:58.385960,Boleto,388.32,388.32
TRANS00194,CUST0807,PROD0496,1,2025-07-11 21:52:58.385963,Boleto,804.37,804.37
TRANS00195,CUST0321,PROD0048,2,2025-02-28 21:52:58.385966,Credit Card,141.88,283.76
TRANS00196,CUST0511,PROD0483,1,2025-04-13 21:52:58.385969,Credit Card,860.11,860.11
TRANS00197,CUST0611,PROD0336,2,2025-03-20 21:52:58.385973,Debit Card,216.23,432.46
TRANS00198,CUST0077,PROD0209,4,2025-03-19 21:52:58.385976,Credit Card,359.57,1438.28
TRANS00199,CUST0783,PROD0115,4,2025-03-16 21:52:58.385979,Credit Card,71.42,285.68
TRANS00200,CUST0338,PROD0022,4,2024-10-05 21:52:58.385982,Debit Card,958.06,3832.24
TRANS00201,CUST0673,PROD0097,2,2025-01-19 21:52:58.385986,Debit Card,912.23,1824.46
TRANS00202,CUST0555,PROD0327,3,2024-08-26 21:52:58.385989,Credit Card,143.87,431.61
TRANS00203,CUST0508,PROD0396,3,2025-07-10 21:52:58.385992,Credit Card,254.39,763.17
TRANS00204,CUST0237,PROD0406,4,2024-09-08 21:52:58.385995,Boleto,221.85,887.4
TRANS00205,CUST0133,PROD0312,2,2025-03-12 21:52:58.385998,Debit Card,340.85,681.7
TRANS00206,CUST0972,PROD0189,2,2025-05-01 21:52:58.386002,Debit Card,951.03,1902.06
TRANS00207,CUST0191,PROD0181,4,2024-11-25 21:52:58.386005,Credit Card,49.88,199.52
TRANS00208,CUST0355,PROD0147,1,2024-09-02 21:52:58.386008,Credit Card,67.98,67.98
TRANS00209,CUST0277,PROD0341,4,2025-05-04 21:52:58.386011,Credit Card,364.23,1456.92
TRANS00210,CUST0017,PROD0494,2,2024-10-19 21:52:58.386014,Debit Card,128.75,257.5
TRANS00211,CUST0523,PROD0435,1,2024-09-11 21:52:58.386017,Credit Card,678.14,678.14
TRANS00212,CUST0179,PROD0022,3,2025-03-19 21:52:58.386021,Debit Card,958.06,2874.18
TRANS00213,CUST0122,PROD0104,1,2025-06-12 21:52:58.386024,Debit Card,678.91,678.91
TRANS00214,CUST0245,PROD0162,3,2024-12-22 21:52:58.386027,Debit Card,438.44,1315.32
TRANS00215,CUST0733,PROD0066,2,2024-10-20 21:52:58.386030,Credit Card,134.29,268.58
TRANS00216,CUST0372,PROD0289,4,2025-04-15 21:52:58.386034,Debit Card,399.22,1596.88
TRANS00217,CUST0050,PROD0288,4,2025-01-21 21:52:58.386037,Debit Card,322.21,1288.84
TRANS00218,CUST0999,PROD0045,4,2024-10-16 21:52:58.386040,Credit Card,675.78,2703.12
TRANS00219,CUST0070,PROD0080,4,2025-01-19 21:52:58.386043,Credit Card,51.16,204.64
TRANS00220,CUST0479,PROD0428,4,2025-03-10 21:52:58.386046,Debit Card,238.77,955.08
TRANS00221,CUST0559,PROD0146,2,2025-03-14 21:52:58.386050,Credit Card,216.74,433.48
TRANS00222,CUST0018,PROD0221,2,2025-06-20 21:52:58.386053,Credit Card,629.39,1258.78
TRANS00223,CUST0773,PROD0342,4,2025-05-14 21:52:58.386056,Credit Card,597.84,2391.36
TRANS00224,CUST0083,PROD0014,1,2025-05-18 21:52:58.386059,Credit Card,127.04,127.04
TRANS00225,CUST0154,PROD0378,4,2024-12-10 21:52:58.386062,Boleto,555.03,2220.12
TRANS00226,CUST0564,PROD0120,3,2024-12-12 21:52:58.386065,Debit Card,997.77,2993.31
TRANS00227,CUST0618,PROD0077,3,2025-01-29 21:52:58.386068,Debit Card,241.4,724.2
TRANS00228,CUST0356,PROD0321,3,2025-02-18 21:52:58.386071,Boleto,148.59,445.77
TRANS00229,CUST0815,PROD0294,3,2024-10-20 21:52:58.386075,Debit Card,680.77,2042.31
TRANS00230,CUST0646,PROD0240,4,2025-03-23 21:52:58.386078,Debit Card,388.96,1555.84
TRANS00231,CUST0442,PROD0017,3,2024-11-14 21:52:58.386081,Credit Card,363.03,1089.09
TRANS00232,CUST0068,PROD0255,1,2025-02-19 21:52:58.386084,Debit Card,545.86,545.86
TRANS00233,CUST0522,PROD0453,4,2025-04-16 21:52:58.386088,Credit Card,732.02,2928.08
TRANS00234,CUST0142,PROD0442,3,2025-04-23 21:52:58.386091,Credit Card,976.8,2930.3999999999996
TRANS00235,CUST0191,PROD0415,4,2025-04-21 21:52:58.386094,Credit Card,29.94,119.76
TRANS00236,CUST0386,PROD0276,4,2025-03-19 21:52:58.386097,Credit Card,673.73,2694.92
TRANS00237,CUST0377,PROD0423,4,2024-08-11 21:52:58.386100,Credit Card,996.98,3987.92
TRANS00238,CUST0580,PROD0475,2,2025-06-23 21:52:58.386104,Credit Card,71.81,143.62
TRANS00239,CUST0534,PROD0026,3,2025-04-19 21:52:58.386107,Bank Transfer,553.38,1660.1399999999999
TRANS00240,CUST0692,PROD0001,2,2025-06-10 21:52:58.386110,Credit Card,330.3,660.6
TRANS00241,CUST0292,PROD0352,1,2024-08-09 21:52:58.386113,Bank Transfer,782.41,782.41
TRANS00242,CUST0008,PROD0463,1,2024-10-19 21:52:58.386116,Debit Card,276.47,276.47
TRANS00243,CUST0270,PROD0294,2,2025-07-05 21:52:58.386119,Debit Card,680.77,1361.54
TRANS00244,CUST0386,PROD0469,3,2025-04-13 21:52:58.386123,Credit Card,898.03,2694.09
TRANS00245,CUST0092,PROD0311,4,2025-06-16 21:52:58.386126,Boleto,801.17,3204.68
TRANS00246,CUST0965,PROD0362,1,2024-08-01 21:52:58.386129,Credit Card,268.72,268.72
TRANS00247,CUST0528,PROD0382,1,2024-11-26 21:52:58.386132,Debit Card,204.33,204.33
TRANS00248,CUST0153,PROD0238,1,2024-08-11 21:52:58.386135,Debit Card,516.59,516.59
TRANS00249,CUST0404,PROD0012,3,2024-08-23 21:52:58.386139,Credit Card,731.65,2194.95
TRANS00250,CUST0839,PROD0381,2,2024-09-20 21:52:58.386142,Credit Card,897.61,1795.22
TRANS00251,CUST0148,PROD0183,2,2024-10-04 21:52:58.386145,Credit Card,521.12,1042.24
TRANS00252,CUST0888,PROD0193,3,2025-06-12 21:52:58.386148,Bank Transfer,816.24,2448.7200000000003
TRANS00253,CUST0266,PROD0461,1,2025-06-26 21:52:58.386152,Bank Transfer,239.9,239.9
TRANS00254,CUST0421,PROD0055,3,2025-03-28 21:52:58.386155,Boleto,874.13,2622.39
TRANS00255,CUST0839,PROD0229,3,2024-09-01 21:52:58.386158,Credit Card,669.86,2009.58
TRANS00256,CUST0617,PROD0488,2,2024-08-03 21:52:58.386161,Credit Card,945.57,1891.14
TRANS00257,CUST0471,PROD0027,3,2025-02-22 21:52:58.386165,Credit Card,386.18,1158.54
TRANS00258,CUST0892,PROD0319,3,2025-07-05 21:52:58.386168,Boleto,69.02,207.06
TRANS00259,CUST0546,PROD0070,1,2024-11-15 21:52:58.386171,Credit Card,589.71,589.71
TRANS00260,CUST0630,PROD0209,4,2025-02-21 21:52:58.386175,Credit Card,359.57,1438.28
TRANS00261,CUST0525,PROD0447,1,2024-11-20 21:52:58.386178,Boleto,768.2,768.2
TRANS00262,CUST0502,PROD0183,2,2025-04-16 21:52:58.386181,Debit Card,521.12,1042.24
TRANS00263,CUST0013,PROD0424,4,2024-09-04 21:52:58.386184,Debit Card,722.96,2891.84
TRANS00264,CUST0777,PROD0374,1,2024-08-28 21:52:58.386188,Credit Card,182.67,182.67
TRANS00265,CUST0651,PROD0355,3,2025-03-24 21:52:58.386191,Credit Card,698.0,2094.0
TRANS00266,CUST0805,PROD0040,3,2025-07-02 21:52:58.386194,Boleto,586.89,1760.67
TRANS00267,CUST0363,PROD0483,4,2024-10-18 21:52:58.386197,Debit Card,860.11,3440.44
TRANS00268,CUST0118,PROD0491,4,2025-06-25 21:52:58.386201,Credit Card,505.57,2022.28
